整合編號,食品分類,樣品名稱,熱量-成分值(kcal),水分-成分值(g),粗蛋白-成分值(g),粗脂肪-成分值(g),總碳水化合物-成分值(g),膳食纖維-成分值(g)
A00101,穀物類,大麥,367,11.6,9.3,3,74.2,15.3
A00102,穀物類,大麥片,365,12.1,8.6,1.8,76.7,6
A00201,穀物類,小米,370,12.3,11.3,3.7,71.7,2.2
A00301,穀物類,糯小米,360,12.9,12.5,1.5,72.5,1.4
A00401,穀物類,小麥,362,12.6,14.1,2.6,69.2,11.3
A00501,穀物類,小麥胚芽,417,4.2,31.4,11.6,47.9,10
A00601,穀物類,水餃皮,262,33,7.8,0.5,57,1.5
A00602,穀物類,春捲皮,239,38.9,8.3,0.7,50.4,2
A00603,穀物類,餛飩皮,269,31.4,8.3,0.5,58.2,1.5
A00701,穀物類,去筋麵粉,355,13.6,0.2,0.1,85.7,0.4
A00801,穀物類,低筋麵粉,364,12,8.1,1.2,78.2,2
A00901,穀物類,中筋麵粉,361,12.6,11.5,1.3,74.1,1.8
A01001,穀物類,高筋麵粉,362,12.3,12.9,1.2,73.1,1.9
A01101,穀物類,全麥麵粉,359,12.7,13,1.7,71.4,8
A01201,穀物類,雜糧中筋麵粉,359,11.7,13.1,2.3,72,5.7
A01301,穀物類,雜糧高筋麵粉,358,12.4,14.3,2.8,69.6,5.3
A01401,穀物類,乾麵條,354,10.8,11.5,1.4,74.6,1.9
A01402,穀物類,油麵條,359,9,11.4,1.2,76.3,1.1
A01403,穀物類,紅蘿蔔麵,350,12,12.1,1,73.8,2.5
A01404,穀物類,通心麵,356,11.5,13.8,1.4,72.6,1.8
A01405,穀物類,菠菜條,353,11.5,11.8,1.2,74.4,2.5
A01406,穀物類,鍋燒意麵,475,5.8,10,22.8,58.5,3
A01407,穀物類,雞蛋麵,355,10.4,12.5,0.9,74.8,2.8
A01501,穀物類,刀削麵,265,33.5,8.4,0.9,56.2,1
A01502,穀物類,拉麵,290,26.6,9.1,0.8,62.1,1.3
A01503,穀物類,意麵,288,26.8,10.1,1,60.1,4.5
A01601,穀物類,衛生油麵,162,61.2,5.5,1.8,31.2,0.6
A01602,穀物類,金門黃麵,157,60.1,6.4,0.5,31.9,2.3
A01603,穀物類,冷凍烏龍麵,125,68.6,3,0.4,27.7,1.1
A01604,穀物類,鍋燒麵,119,70.4,4.5,0.4,24.6,0.5
A01701,穀物類,麵筋,639,4.9,42.5,53,0,1.9
A01801,穀物類,麵腸,137,67.5,20.6,1.9,9.7,0.6
A01901,穀物類,長麵線,308,16.4,10.7,1.1,64.3,1.9
A01902,穀物類,蚵仔麵線,305,17.3,11.3,1.4,62.3,2.1
A01903,穀物類,麵線,347,12,11.7,1.5,72.4,2.5
A01904,穀物類,雞絲麵,460,6.3,9.4,22.8,55,1.2
A02001,穀物類,白玉米,66,83.8,3.4,0.6,11.4,3.7
A02101,穀物類,紫玉米,168,59.4,4.5,1,34.4,4.9
A02201,穀物類,甜玉米,107,75.7,3.3,2.5,17.8,4.7
A02301,穀物類,雙色水果玉米,105,76.2,3.1,2.6,17.5,4
A02401,穀物類,糯玉米,172,59.1,4.7,1.9,33.4,3.5
A02501,穀物類,玉米胚芽,366,11.5,7,0.9,80.3,5.7
A02601,穀物類,冷凍玉米粒,174,65.6,3.1,8.2,22.5,3.1
A02602,穀物類,乾玉米粒,373,11.9,10.9,3.9,72.2,12.8
A02701,穀物類,玉米粉,369,10.9,0.3,0.4,88.3,0.2
A02801,穀物類,玉米粒罐頭,89,78.3,2.3,1.4,16.9,3.6
A02802,穀物類,玉米醬罐頭,65,83.2,1.4,0.4,14,1.7
A029,穀物類,秈米平均值,357,13.4,7.8,0.9,77.4,0.6
A02901,穀物類,秈米(台中在來2號),355,13.9,8.2,1,76.3,0.5
A02902,穀物類,秈米(台中秈10號),358,13,7.4,0.7,78.5,0.6
A030,穀物類,粳米平均值,354,14.1,7,0.7,77.8,0.7
A03001,穀物類,粳米(台中189號),356,13.5,7.5,0.6,78.1,0.3
A03002,穀物類,粳米(台南11號),348,15.4,6.7,0.5,77.2,0.8
A03003,穀物類,粳米(台粳2號),357,13.2,7.2,0.5,78.7,0.6
A03004,穀物類,粳米(台粳71號),357,13.3,7.9,0.6,77.8,0.9
A03005,穀物類,粳米(台粳8號),355,13.5,6.9,0.4,78.8,0.5
A03006,穀物類,粳米(台粳9號),353,14.3,6.6,0.6,78.2,0.6
A03007,穀物類,粳米(高雄139號),357,13.7,6.1,1.2,78.5,1.3
A03008,穀物類,粳米(高雄142號),353,14.3,7,0.6,77.7,0.2
A03009,穀物類,粳米(高雄145號),364,11.8,6.8,1,80,1
A03010,穀物類,越光米,340,17.8,7.6,1,73.3,0.9
A03101,穀物類,加鈣米,355,13.6,7.4,0.7,77.7,0.7
A03201,穀物類,高纖米,363,12.8,8.3,2.5,75.2,2.8
A03301,穀物類,白秈糯米(台中糯70號秈米),361,12.4,7.9,0.9,78.4,0.4
A034,穀物類,白粳糯米平均值,358,13.1,8.3,0.8,77.4,0.7
A03401,穀物類,白粳糯米(台中189號粳米),359,12.8,8.4,0.5,78,0.7
A03402,穀物類,白粳糯米(台粳糯1號粳米),358,13.5,8.2,1.1,76.8,0.7
A03501,穀物類,野生紅米,360,13.7,7.7,2.6,74.7,3.4
A03601,穀物類,紅糯米,362,13.1,9.9,2.8,72.6,4.5
A03701,穀物類,黑秈糯米,357,14.8,10.1,3.5,70.1,3.3
A03801,穀物類,胚芽秈米(台中秈10號),363,12.3,8.3,2.1,76.1,2.8
A039,穀物類,胚芽粳米平均值,362,12.7,8.2,1.6,76.8,1.5
A03901,穀物類,胚芽粳米(台粳10號）,360,13.1,7.3,1.7,77.2,1.8
A03902,穀物類,胚芽粳米(台粳9號),363,12.3,9.1,1.5,76.5,1.3
A040,穀物類,發芽粳米平均值,355,14.8,7.8,2.3,74,3.3
A04001,穀物類,發芽粳米(台粳71號),357,14.8,7.4,2.8,73.9,3.3
A04002,穀物類,發芽粳米(台粳9號）,353,14.8,8.2,1.9,74.1,3.4
A04101,穀物類,糙秈米,359,14.4,7.3,3.2,73.6,3.3
A042,穀物類,糙粳米平均值,362,13.1,8.2,2.5,75.1,4
A04201,穀物類,糙粳米(台粳71號),360,13.6,9,2.6,73.6,3.5
A04202,穀物類,糙粳米(台粳9號),364,12.5,7.4,2.3,76.6,4.5
A04301,穀物類,米胚芽,391,11.4,17,12.7,52.9,14.7
A04401,穀物類,秈米粉,363,11.9,4.2,0.4,83.4,0.5
A04402,穀物類,糙米粉,393,5.9,11.3,3.2,78.1,3.2
A04403,穀物類,白糯米粉,360,12.6,4.5,0.4,82.3,0.6
A045,穀物類,米粉平均值,366,10.9,2.1,0.8,85.3,0.8
A04501,穀物類,埔里米粉,355,11.1,0.5,0.5,87.7,1.2
A04502,穀物類,細米粉,353,10.2,0.4,0.6,87.2,1
A04503,穀物類,濁水米粉,355,11.3,5.3,1.3,81.1,0.2
A04601,穀物類,米粄條,128,68.4,1.1,0.9,29.2,1.4
A04602,穀物類,米苔目,120,69.7,0.6,0.1,29.6,0.1
A04603,穀物類,粿仔條,192,53,0.5,1.2,45,0.3
A04701,穀物類,免煮飯,168,59.3,3.2,0.3,37,0.4
A04702,穀物類,白飯,183,55.6,3.1,0.3,41,0.6
A04801,穀物類,高梁,372,11.3,11,3,73.6,5.2
A04901,穀物類,糯高梁,362,12.1,10.7,1,75.7,2.5
A05001,穀物類,黑麥片,359,12.5,7.8,1.2,77.3,10.8
A05101,穀物類,燕麥,406,10,10.9,10.2,67.4,8.5
A05102,穀物類,即食燕麥片,406,9.1,11.9,9.6,67.9,10.5
A05103,穀物類,燕麥片,393,10.1,12.3,9.7,64.1,4.7
A05201,穀物類,蕎麥,361,13.2,11,2.9,71.3,3.5
A05301,穀物類,蕎麥麵(濕),155,63.1,6.3,1.5,28.6,2.6
A05302,穀物類,蕎麥麵(乾),355,12.2,12.7,1.7,70.6,4.1
A05401,穀物類,薏仁,378,11.5,14.1,6,66.2,1.8
A05501,穀物類,小薏仁,359,12.7,8.7,0.9,77.1,5.7
A05601,穀物類,紅薏仁,386,11,13.9,7.2,65.8,2.7
A05701,穀物類,糙薏仁,388,11,13.2,7.7,66.1,6
A05801,穀物類,小薏仁粉,389,5.7,7.1,1.3,85,7.2
A05802,穀物類,薏仁粉,392,4.7,10.9,3.5,80,3
A05901,穀物類,五穀米,358,14.3,8.7,2.9,72.9,4.9
B00101,澱粉類,淮山,363,11.2,5.3,0.3,82.4,5.4
B002,澱粉類,山藥平均值,87,77.9,2.9,0.1,18.2,1.3
B00201,澱粉類,山藥(二刺),89,77.4,2.7,0.1,18.9,1.6
B00202,澱粉類,山藥(大汕1號),80,79.6,2.4,0.1,17,1
B00203,澱粉類,山藥(大汕3號),73,81.3,2.6,0.1,15,1.3
B00204,澱粉類,山藥(大刺),85,78.3,3.5,0.1,17.1,1.2
B00205,澱粉類,山藥(中國長品),74,81,2.5,0.1,15.5,0.4
B00206,澱粉類,山藥(台農1號),93,76.5,2.6,0.1,19.9,1.2
B00207,澱粉類,山藥(台農2號),95,75.6,3.2,0.1,19.9,0.6
B00208,澱粉類,山藥(白皮削),75,80.8,2.5,0.1,15.7,1.4
B00209,澱粉類,山藥(尖石原生種),65,83.3,3.1,0.1,12.4,1.3
B00210,澱粉類,山藥(宜蘭原生種),140,64.8,4.8,0.2,29.1,2.3
B00211,澱粉類,山藥(花蓮3號),93,76.5,1.7,0.1,20.9,1.4
B00212,澱粉類,山藥(青森),94,76.3,2.6,0.2,19.9,2.1
B00213,澱粉類,紅薯,92,76.5,2.8,0.1,19.6,1.1
B00214,澱粉類,山藥(高田),71,81.9,3.1,0.1,14,1.1
B00301,澱粉類,木薯粉,362,12.2,0.1,0.2,87.3,0.2
B00401,澱粉類,冰心地瓜,119,70,1.3,0.1,27.5,2.9
B00402,澱粉類,菱角牛奶地瓜,133,66.9,1.9,0.3,29.9,1.6
B00501,澱粉類,芋心甘薯,122,69.4,1.1,0.1,28.5,2.8
B00601,澱粉類,紅肉甘薯,114,71.7,1.8,0.2,25.4,2.4
B00701,澱粉類,金時地瓜,138,65.7,1.6,0.4,31.3,2.2
B00801,澱粉類,黃肉甘薯,121,70,1.3,0.2,27.8,2.5
B00901,澱粉類,甘薯粉,358,12.9,1,0.2,85.5,0.5
B010,澱粉類,芋頭平均值,121,70.3,2,0.8,25.8,2.6
B01001,澱粉類,芋頭,128,68.9,2.5,1.1,26.4,2.3
B01002,澱粉類,小芋頭(山芋),113,72.5,2.3,1.2,22.8,2.9
B01003,澱粉類,檳榔心芋,121,69.5,1.3,0,28.1,2.7
B01101,澱粉類,芋頭粉,331,16.1,0.1,0,83.1,9.1
B01201,澱粉類,冷凍芋頭塊,147,65.3,2.2,4.3,24.9,5.7
B01301,澱粉類,豆薯,31,92.1,0.7,0.1,6.8,1.3
B01401,澱粉類,紅馬鈴薯(粉紅珍珠馬鈴薯),66,83,1.6,0,14.4,1.3
B015,澱粉類,黃皮馬鈴薯平均值,68,82.6,2.2,0.1,14.3,1.2
B01501,澱粉類,馬鈴薯,77,80.5,2.6,0.2,15.8,1.3
B01502,澱粉類,小馬鈴薯(珍珠馬鈴薯),59,84.6,1.7,0,12.8,1.2
B01601,澱粉類,馬鈴薯粉,346,15.8,0.1,0.1,83.8,0.2
B01701,澱粉類,荸薺,67,82.6,1.7,0.1,14.5,2.1
B01801,澱粉類,荸薺粉,365,11.2,0.4,0.2,87.8,0.5
B01901,澱粉類,蓮藕,65,83.4,2,0.2,13.5,3.3
B02001,澱粉類,熟蓮藕,50,87.3,1.1,0.1,11,1.4
B02002,澱粉類,熟蓮藕切片(水煮),73,82,0.8,0,16.9,3.4
B02101,澱粉類,蓮藕粉,365,11.3,0.1,0.1,88.3,0.3
B02201,澱粉類,西谷米,371,9.8,0.1,0.1,89.7,0.3
B02301,澱粉類,蒟蒻粉,349,9.3,0.2,0.2,87.2,7.4
C00101,堅果及種子類,杏仁片(生),564,5,27.3,47.8,17,6.5
C00201,堅果及種子類,杏仁片(熟),618,3,23.4,56.9,14.8,14.4
C00301,堅果及種子類,原味杏仁果,588,1.9,21.9,49.8,23.2,9.8
C00401,堅果及種子類,蒜味杏仁果,603,1.5,23.3,53.6,18,9.3
C00501,堅果及種子類,杏仁粉,530,5.1,9.7,36.4,47.1,4.8
C00601,堅果及種子類,松子仁,678,1.9,16.6,69.5,9.4,4.2
C00701,堅果及種子類,原味松子仁,680,1,14.5,69,13,6
C00801,堅果及種子類,蜜汁松子仁,692,1.2,14.9,62.4,19,4
C00901,堅果及種子類,原味夏威夷豆,700,1.2,7.5,71.6,18.2,6.3
C01001,堅果及種子類,鹽酥夏威夷豆,720,0.9,9.4,76.3,12,5.4
C01101,堅果及種子類,生核桃,667,3.7,15.4,67.9,11.2,6.2
C01201,堅果及種子類,甜核桃,718,1.6,14.4,67.4,14.7,6.2
C01301,堅果及種子類,栗子(生),264,34.3,4.6,1.4,57.9,10.4
C01401,堅果及種子類,糖炒栗子,210,47.6,4.2,0.8,46.3,5.7
C01501,堅果及種子類,栗子仁(生),176,55.9,3.7,0.7,38.7,8.7
C01601,堅果及種子類,無花果,365,11.4,3.6,4.3,77.8,13.3
C01701,堅果及種子類,菱角(生),75,81,1.9,0.3,16.1,1.9
C01801,堅果及種子類,菱角(熟),143,63.4,4.2,0.3,31,3
C01901,堅果及種子類,菱角仁(生),115,69.8,4.1,0.3,24.1,2.2
C02001,堅果及種子類,開心果,601,1.1,22.4,52.7,20.1,13.6
C02101,堅果及種子類,腰果(生),568,3.3,18.3,45.5,30.3,3.6
C02201,堅果及種子類,原味腰果,566,2.2,16.4,43.7,35.2,5
C02301,堅果及種子類,蜜汁腰果,595,2.2,17.6,43.6,34.3,2
C02401,堅果及種子類,原味榛果,672,1.1,13,66.5,17.2,8
C02501,堅果及種子類,玉桂西瓜子,492,5.3,31.1,34.4,23.8,16.3
C02502,堅果及種子類,醬油西瓜子,509,5.1,29.5,37.7,22.5,10.9
C02601,堅果及種子類,亞麻仁籽,524,7.6,20.8,40.3,28.1,23.1
C02701,堅果及種子類,亞麻仁籽粉,582,0.6,21.4,47.4,27.3,26.2
C02801,堅果及種子類,白芝麻(生),598,4.7,22.3,54.9,15,10.5
C02802,堅果及種子類,黑芝麻(生),551,6,22.2,48.1,17.6,15.5
C02901,堅果及種子類,白芝麻(熟),626,1.9,20.3,58.7,15.7,10.7
C02902,堅果及種子類,黑芝麻(熟),599,1.5,17.3,54.4,20.6,14
C03001,堅果及種子類,黑芝麻粉,601,2.2,15.7,55.2,20.8,12.3
C03101,堅果及種子類,帶殼花生(生鮮),331,43.7,15.3,27.2,12.2,8.1
C03102,堅果及種子類,冷凍帶殼花生(生),344,40,17.2,27.4,13.3,15.9
C03201,堅果及種子類,紅土花生(熟),546,1.8,30.9,42.2,21.1,7.7
C03202,堅果及種子類,鹽酥花生(熟),531,2.3,28.2,38.1,28.1,9
C03301,堅果及種子類,去膜花生仁(生),558,4.2,28.8,45.4,19.1,6.6
C03302,堅果及種子類,帶膜花生仁(生),516,7.5,23.6,38.1,28.4,7.9
C03401,堅果及種子類,生鮮花生仁,506,9.9,28.8,38.5,20.6,13.5
C03501,堅果及種子類,醃漬花生仁,286,58.2,10.6,26,2.9,8.5
C03502,堅果及種子類,糖漬花生仁,379,32.8,14.2,23.3,28.8,4.1
C03503,堅果及種子類,油炸花生仁,619,1.8,28.9,48.4,18,7
C03504,堅果及種子類,蛋酥花生仁,602,1.3,21.1,43.8,31.8,7.3
C03505,堅果及種子類,鹽酥花生仁,553,2.1,28.8,35.9,29.6,9.9
C03601,堅果及種子類,花生粉,537,1.4,34,39.4,21.9,33.2
C03701,堅果及種子類,芡實,343,14.1,9.9,0.1,75.4,3.1
C03801,堅果及種子類,調味南瓜子(去殼),561,2.8,30.4,47.9,13.5,8.3
C03802,堅果及種子類,調味南瓜子(帶殼),564,2.6,25.9,47.2,19.5,6.1
C03901,堅果及種子類,原味葵瓜子(去殼),586,4,22,51.9,18.7,8.3
C04001,堅果及種子類,甘草葵瓜子(帶殼),527,3.1,26.8,39.3,25.8,19.7
C04002,堅果及種子類,鹽酥葵瓜子(帶殼),575,2.5,25.9,49.3,17.8,8.1
C04101,堅果及種子類,白果,142,65,4.1,1.2,28.9,3.2
C04201,堅果及種子類,生蓮子,334,12,21.8,1.2,60.9,13.1
C04301,堅果及種子類,生鮮蓮子,141,63.2,9.3,0.5,25.6,8
C04401,堅果及種子類,糖漬蓮子,228,41.9,5.7,0.1,51.4,3.3
C04501,堅果及種子類,山粉圓,400,8.7,16.3,12.8,58,57.9
C04601,堅果及種子類,咖啡豆(曼特寧),437,2.1,13.9,14.9,65.1,48.4
C04701,堅果及種子類,"雪蓮子(大粒,埃及豆)",364,11,19.4,5.8,61,12.4
C04702,堅果及種子類,雪蓮子(小粒),354,11,4.7,0.5,82.1,75.8
C04801,堅果及種子類,愛玉子,407,7.8,12.2,12.5,63.7,51.6
D001,水果類,木瓜平均值,38,89.1,0.6,0.1,9.9,1.4
D00101,水果類,木瓜(11月取樣),44,87.5,0.4,0.1,11.8,1.1
D00102,水果類,木瓜(2月取樣),31,91,0.7,0.1,7.7,1.6
D00103,水果類,木瓜(5月取樣),44,87.4,0.7,0.1,11.3,1.5
D00104,水果類,木瓜(8月取樣),33,90.3,0.5,0,8.8,1.4
D00201,水果類,青木瓜,29,91.7,0.6,0.1,7.2,2.4
D003,水果類,可可椰子汁平均值,18,94.5,0.1,0,4.9,0
D00301,水果類,可可椰子汁(屏東),17,94.7,0.1,0,4.7,0
D00302,水果類,可可椰子汁(進口),19,94.2,0.2,0,5,0
D00401,水果類,紅甘蔗汁,63,82.8,0.5,0.5,15.9,0.2
D00501,水果類,百香果,66,84,2.2,2.4,10.7,5.3
D00601,水果類,百香果汁,73,79.6,0.9,0.4,18.6,0.2
D00701,水果類,華寶大西瓜(花蓮),33,90.6,0.7,0.1,8.4,0.7
D008,水果類,西瓜平均值(紅肉小瓜),33,90.8,0.8,0.1,8,0.3
D00801,水果類,皇宮西瓜,32,90.9,0.7,0.1,8.1,0.3
D00802,水果類,紅鈴西瓜,34,90.4,0.8,0.1,8.5,0.3
D00803,水果類,黑美人西瓜,36,89.7,0.9,0.1,9.1,0.3
D00804,水果類,鳳光西瓜,27,92.3,0.7,0.2,6.5,0.5
D00901,水果類,無子西瓜,33,90.5,0.9,0,8.2,0.6
D010,水果類,西瓜平均值(黃肉小瓜),29,91.7,0.7,0.1,7.3,0.3
D01001,水果類,小玉西瓜,35,90.2,0.8,0.1,8.6,0.3
D01002,水果類,金蘭西瓜,24,93.2,0.6,0,6,0.2
D01101,水果類,嘉寶瓜,40,88.7,0.8,0.2,10,0.4
D012,水果類,李子平均值(青皮黃肉),48,86.9,0.7,0.4,11.7,1.5
D01201,水果類,加州青李,47,86.8,0.6,0.2,12,1.8
D01202,水果類,翡翠李,48,87,0.7,0.5,11.4,1.3
D013,水果類,李子平均值(紅皮紅肉),39,89,0.6,0.3,9.6,1.7
D01301,水果類,紅肉李(大),41,88.9,0.5,0.3,10,1.5
D01302,水果類,紅肉李(小),38,89.2,0.7,0.3,9.2,1.8
D014,水果類,李子平均值(紅皮黃肉),48,86.7,0.7,0.3,11.9,1.5
D01401,水果類,加州紅李(台灣),45,88.2,0.3,0.6,10.6,1.7
D01402,水果類,加州紅李(進口),60,83,0.8,0.3,15.3,1.5
D01403,水果類,加州蜜李(進口),66,81.1,1.3,0.1,17.1,2.1
D01404,水果類,香水李,36,89.9,0.7,0.3,8.8,0.6
D01405,水果類,桃接李(大),38,89.6,0.6,0.3,9.2,1.2
D01406,水果類,桃接李(小),36,90.1,0.7,0.4,8.5,1.9
D01407,水果類,蜜棗李(進口),53,85.2,0.6,0.2,13.6,1.4
D01501,水果類,黃肉李,35,90.1,0.4,0.2,8.9,0.9
D01601,水果類,黑李,57,83.9,0.7,0.2,14.7,1.4
D01701,水果類,土芒果,54,84.9,0.6,0.3,13.8,1
D018,水果類,芒果平均值(西洋種),50,86,0.6,0.2,13,1.2
D01801,水果類,肯特芒果,49,86.3,0.5,0.2,12.7,1.2
D01802,水果類,海頓芒果,60,83.3,0.4,0.2,15.7,1.7
D01803,水果類,凱特芒果,50,86,1.1,0.2,12.5,1
D01804,水果類,愛文芒果,42,88.2,0.4,0.2,11,0.9
D01805,水果類,聖心芒果,50,86.3,0.5,0.2,12.9,1.3
D01901,水果類,黑香芒果,66,81.6,0.8,0.3,16.9,1.3
D020,水果類,芒果平均值(新興種),56,84.5,0.6,0.2,14.4,1.1
D02001,水果類,四季芒果,60,83.2,0.6,0.2,15.6,1.8
D02002,水果類,玉文芒果,62,82.9,0.5,0.3,16.1,0.7
D02003,水果類,金煌芒果,52,85.6,0.8,0.2,13,1.4
D02004,水果類,金蜜芒果,64,82.3,0.6,0.4,16.3,1.1
D02005,水果類,金興芒果,41,88.5,0.6,0.1,10.6,0.6
D02006,水果類,香水芒果,65,81.8,0.6,0.2,17.1,1.4
D02007,水果類,蓮花芒果,47,86.8,0.4,0.2,12.2,0.8
D02101,水果類,金黃奇異果,59,83.3,0.8,0.3,15,1.4
D02201,水果類,奇異果,56,84,1.1,0.3,14,2.7
D02301,水果類,枇杷,38,89.1,0.3,0.2,9.8,0.9
D02401,水果類,筆柿,69,80.6,0.6,0.1,18.3,4
D025,水果類,甜柿平均值,57,84,0.5,0.1,15.2,1.2
D02501,水果類,富有甜柿(大雪山),57,84.2,0.4,0.1,15.1,1.1
D02502,水果類,甜柿(進口),57,83.7,0.6,0.1,15.3,1.4
D02601,水果類,牛心柿,62,82.6,0.5,0.2,16.5,4
D02701,水果類,四周柿,66,81.4,0.5,0.1,17.6,4.4
D02801,水果類,柿餅,196,44.5,1.7,0.2,52.2,12.6
D02901,水果類,萊姆,38,90.5,0.5,1,7.7,1.9
D02902,水果類,萊姆汁,34,90.9,0.3,0.5,8.1,0.3
D03001,水果類,檸檬,33,91,0.7,0.5,7.3,1.2
D031,水果類,檸檬汁平均值,31,91.7,0.5,0.4,7,0.2
D03101,水果類,檸檬汁(黃皮),30,91.7,0.5,0.3,7.2,0.1
D03102,水果類,檸檬汁(綠皮),31,91.8,0.4,0.6,6.9,0.3
D03201,水果類,文旦,33,90.5,0.7,0.1,8.4,1.3
D03301,水果類,白柚,38,89.4,0.6,0.2,9.6,1.2
D03401,水果類,西施蜜柚,40,88.6,0.8,0.2,10.1,1.3
D035,水果類,甜橙平均值(普遍系),46,87.2,0.8,0.2,11.4,2
D03501,水果類,柳橙,43,87.6,0.8,0.1,11,2.1
D03502,水果類,香吉士(進口),47,87,0.7,0.5,11.4,2.2
D03503,水果類,澳洲甜橙(進口),46,87,0.9,0.1,11.6,1.7
D03601,水果類,青皮葡萄柚,33,90.6,0.8,0.1,8.3,1.2
D03701,水果類,紅寶石葡萄柚(古坑),37,89.9,0.7,0.3,8.9,1.1
D03801,水果類,黃皮葡萄柚(進口),38,89.3,0.7,0.1,9.7,1.1
D03901,水果類,黃皮葡萄柚,37,89.6,0.7,0.2,9.2,1.1
D04001,水果類,椪柑,40,88.7,0.8,0.2,10,1.5
D04101,水果類,紅柑,42,88.2,0.8,0.1,10.6,1
D04102,水果類,茂谷柑,44,87.4,0.6,0.1,11.5,1.3
D04103,水果類,海梨桶柑,44,87.6,0.9,0.1,11,2
D04104,水果類,高牆桶柑,45,87.1,0.8,0,11.8,1.4
D04105,水果類,檸檬柑,48,86.1,1.1,0.1,12.2,1.9
D04201,水果類,長果金柑,56,84.4,1,0.2,14.1,3.2
D04202,水果類,圓果金柑,32,91,0.7,0.2,7.6,2.2
D04301,水果類,圓果金柑汁(綠皮),33,90.6,0.9,0.1,7.9,1.4
D04401,水果類,紅龍果(白肉),51,85.7,0.9,0.4,12.4,1.7
D04501,水果類,紅龍果(紅肉),50,85.8,1.1,0.2,12.3,1.3
D046,水果類,北蕉平均值,85,75.7,1.5,0.1,22.1,1.6
D04601,水果類,北蕉(11月取樣),90,74.2,1.6,0.1,23.4,1.5
D04602,水果類,北蕉(2月取樣),93,73.4,1.3,0,24.6,2
D04603,水果類,北蕉(5月取樣),92,73.9,1.6,0.2,23.7,1.8
D04604,水果類,北蕉(9月取樣),65,81.4,1.3,0,16.6,1.2
D04701,水果類,"北蕉(0天,綠皮)",90,74.4,1.3,0.3,23.3,2
D04702,水果類,北蕉(1天),87,75.4,1.4,0.3,22.2,1.7
D04703,水果類,北蕉(3天),84,76.4,1.4,0.3,21.3,1.7
D04704,水果類,北蕉(7天),68,80.7,1.3,0.2,17.1,1.6
D04801,水果類,李林蕉,102,71,1.4,0.3,26.3,2.6
D04802,水果類,南華蕉,124,64.8,1.1,0.1,33.2,2.9
D04803,水果類,紅皮蕉,98,72.1,1.3,0.2,25.5,2.7
D04804,水果類,美人蕉,111,68.3,1.5,0.1,29.2,3.3
D04805,水果類,蘋果蕉,93,73.4,1.3,0.3,24,2.1
D04901,水果類,桑葚,32,91,1.1,0.4,7,1.3
D05001,水果類,桑葚汁,25,92.7,0.8,0.2,5.9,0.4
D051,水果類,水蜜桃平均值,39,88.8,0.9,0.2,9.7,1.7
D05101,水果類,水蜜桃,40,88.6,0.9,0.1,9.9,1.3
D05102,水果類,甜蜜桃,39,88.9,0.9,0.2,9.6,2
D052,水果類,脆桃平均值,44,87.3,0.9,0.1,11.1,2.5
D05201,水果類,白油桃,37,89.6,0.6,0.1,9.3,2.6
D05202,水果類,玫瑰桃,51,85.3,1.2,0.1,12.8,1.7
D05203,水果類,福壽桃,47,86.4,0.9,0.2,11.9,3.1
D05204,水果類,鶯哥桃,42,87.9,1,0.2,10.5,2.7
D05301,水果類,蟠桃,45,87.3,0.9,0.2,11.3,1.7
D054,水果類,荔枝平均值,65,81.8,1,0.2,16.5,0.8
D05401,水果類,玉荷苞荔枝,68,80.9,1.2,0.2,17.3,0.8
D05402,水果類,黑葉仔荔枝,62,82.7,0.9,0.2,15.8,0.9
D05501,水果類,冷凍荔枝,28,91.9,0.4,0.1,7.2,0.6
D05601,水果類,草莓,39,89,1,0.2,9.3,1.8
D05701,水果類,胭脂梅,35,90,0.5,0.1,8.8,2
D058,水果類,西洋梨平均值,53,85.3,0.3,0.2,14.1,2.1
D05801,水果類,西洋梨(青皮),62,82.8,0.3,0.2,16.5,2.6
D05802,水果類,西洋梨(紅皮),53,85.3,0.3,0.2,13.9,1.8
D05803,水果類,西洋梨(黃皮),44,87.7,0.2,0.1,11.8,1.9
D05901,水果類,幸水梨,34,90.4,0.4,0,9,1.2
D05902,水果類,大雪梨,42,88.1,0.3,0.1,11.1,1.1
D05903,水果類,新世紀梨,42,88.3,0.4,0.2,10.7,1.8
D05904,水果類,新興梨,44,87.5,0.2,0.1,11.9,1.4
D05905,水果類,橫山梨,47,86.8,0.4,0.1,12.4,1.9
D05906,水果類,豐水梨,36,89.7,0.5,0.1,9.4,1
D06001,水果類,將軍蜜梨,50,86,0.4,0.1,13.3,0.9
D06002,水果類,梨山蜜梨,47,86.6,0.3,0.1,12.6,1.6
D061,水果類,甜瓜平均值(光皮洋香瓜),30,91.4,0.9,0.1,7.2,0.6
D06101,水果類,太陽洋香瓜,32,90.5,1.2,0,7.8,0.1
D06102,水果類,狀元瓜,27,92,0.7,0.1,6.6,0.8
D06103,水果類,蜜世界洋香瓜,29,91.6,0.7,0.1,7.1,0.9
D062,水果類,甜瓜平均值(東洋系脆瓜),37,89.3,1,0.2,8.9,0.5
D06201,水果類,美濃瓜,37,89.3,1.1,0.2,8.8,0.5
D06202,水果類,黃香瓜,30,91,0.6,0.2,7.5,0.6
D06203,水果類,嘉玉甜瓜,43,87.6,1.3,0.1,10.4,0.6
D06301,水果類,新世紀哈密瓜,39,88.7,0.7,0,10.1,0.5
